"","Station","group_id","Behavioral.category","group_sum","Site","Observer","RFID_DateTime","Treatment","Night","Station_Ammend","behave_sum","behave_prop","Haven","Region","Woylie_density"
"1694","WWF21",5,"Other",27.871,"DNWS","TASH","2022-10-11 21:02:00","F",2,"WWF21",0.729,0.0261562197265975,"Havened","Dryandra",1.185
"1695","WWF9",5,"Other",177.32,"DNWS","GRBL","2022-10-11 23:01:00","F",2,"WWF9",4.173,0.023533724340176,"Havened","Dryandra",1.185
"1696","BOY14",6,"Other",112.943,"Boyicup","TASH","2022-04-18 19:05:00","F",1,"BOY14",4.597,0.0407019469998141,"Non-havened","Upper_Warren",0.494
"1697","BOY16",6,"Other",135.441,"Boyicup","TASH","2022-04-19 19:09:00","C",2,"BOY16",25.822,0.19065127989309,"Non-havened","Upper_Warren",0.494
"1698","BOY6",6,"Other",40.699,"Boyicup","HAZE","2022-04-16 19:35:00","C",2,"BOY6",2.224,0.0546450772746259,"Non-havened","Upper_Warren",0.494
"1699","BOY7",6,"Other",48.794,"Boyicup","GRBL","2022-04-17 18:15:00","F",3,NA,0,0,"Non-havened","Upper_Warren",0.494
"1700","H15",6,"Other",20.879,"Perup_Sanctuary","GRBL","2022-04-19 18:24:00","C",1,"H15",3.965,0.189903731021601,"Havened","Upper_Warren",0.83
"1701","I16",6,"Other",234.21,"Perup_Sanctuary","TASH","2022-04-17 18:10:00","C",2,"I16",5.449,0.0232654455403271,"Havened","Upper_Warren",0.83
"1702","J15",6,"Other",12.57,"Perup_Sanctuary","TASH","2022-04-20 18:19:00","C",2,"J15",2.749,0.218695306284805,"Havened","Upper_Warren",0.83
"1703","K12",6,"Other",117.482,"Perup_Sanctuary","GRBL","2022-04-23 18:06:00","C",2,"K12",4.151,0.0353330723004375,"Havened","Upper_Warren",0.83
"1704","K14",6,"Other",117.701,"Perup_Sanctuary","GRBL","2022-04-19 20:33:00","C",1,NA,0,0,"Havened","Upper_Warren",0.83
"1705","NH03",6,"Other",338.231,"DNWS","TASH","2022-10-12 19:27:00","C",3,"NH03",13.369,0.0395262409418415,"Havened","Dryandra",1.185
"1706","NH12",6,"Other",106.945,"Dryandra_main","TASH","2022-10-19 19:36:00","C",3,"NH12",4.22,0.0394595352751414,"Non-havened","Dryandra",1.39
"1707","NH36",6,"Other",69.445,"DNWS","TASH","2022-10-11 18:43:00","C",2,"NH36",8.159,0.117488660090719,"Havened","Dryandra",1.185
"1708","NH42",6,"Other",59.124,"DNWS","TASH","2022-10-10 20:03:00","F",1,"NH42",3.196,0.0540558825519248,"Havened","Dryandra",1.185
